,State_Code,State,District_Key,District,Confirmed,Active,Recovered,Deceased
212,AS,Assam,AS_Dibrugarh,Dibrugarh,9486,6975,2409,102
213,MH,Maharashtra,MH_Wardha,Wardha,9452,267,8916,265
214,BR,Bihar,BR_Bhagalpur,Bhagalpur,9369,129,9164,76
215,OR,Odisha,OR_Sambalpur,Sambalpur,9323,161,9086,76
216,BR,Bihar,BR_Purnia,Purnia,9256,59,9174,23
217,PB,Punjab,PB_Bathinda,Bathinda,9106,182,8718,206
218,OR,Odisha,OR_Jagatsinghpur,Jagatsinghpur,9073,37,8998,38
219,OR,Odisha,OR_Kendrapara,Kendrapara,9035,123,8883,29
220,CT,Chhattisgarh,CT_Balod,Balod,9026,564,8377,85
221,RJ,Rajasthan,RJ_Bharatpur,Bharatpur,8971,97,8754,120
222,RJ,Rajasthan,RJ_Sikar,Sikar,8927,201,8630,96
223,CT,Chhattisgarh,CT_Baloda Bazar,Baloda Bazar,8858,111,8619,128
224,AS,Assam,AS_Jorhat,Jorhat,8771,6965,1752,54
225,TG,Telangana,TG_Bhadradri Kothagudem,Bhadradri Kothagudem,8738,8734,4,0
226,HR,Haryana,HR_Kurukshetra,Kurukshetra,8600,174,8300,126
227,MN,Manipur,MN_Imphal West,Imphal West,8516,8369,52,95
228,MH,Maharashtra,MH_Gadchiroli,Gadchiroli,8494,186,8215,87
229,OR,Odisha,OR_Balangir,Balangir,8480,105,8336,39
230,OR,Odisha,OR_Rayagada,Rayagada,8366,18,8303,45
231,BR,Bihar,BR_East Champaran,East Champaran,8320,69,8201,50
232,OR,Odisha,OR_State Pool,State Pool,8306,76,8230,0
233,ML,Meghalaya,ML_East Khasi Hills,East Khasi Hills,8264,135,8016,113
234,TN,Tamil Nadu,TN_Tenkasi,Tenkasi,8261,51,8052,158
235,UP,Uttar Pradesh,UP_Muzaffarnagar,Muzaffarnagar,8236,294,7840,102
236,TN,Tamil Nadu,TN_Nagapattinam,Nagapattinam,8129,120,7882,127
237,MH,Maharashtra,MH_Nandurbar,Nandurbar,8119,419,7530,169
238,BR,Bihar,BR_Nalanda,Nalanda,8113,95,7962,56
239,GJ,Gujarat,GJ_Gandhinagar,Gandhinagar,8080,219,7756,105
240,WB,West Bengal,WB_Dakshin Dinajpur,Dakshin Dinajpur,8078,63,7942,73
241,JK,Jammu and Kashmir,JK_Baramulla,Baramulla,7950,114,7664,172
242,TN,Tamil Nadu,TN_Nilgiris,Nilgiris,7930,113,7771,46
243,HR,Haryana,HR_Sirsa,Sirsa,7929,76,7740,113
244,PB,Punjab,PB_Gurdaspur,Gurdaspur,7928,164,7514,250
245,TG,Telangana,TG_Nizamabad,Nizamabad,7920,7890,30,0
246,CT,Chhattisgarh,CT_Mahasamund,Mahasamund,7914,273,7525,116
247,UP,Uttar Pradesh,UP_Ayodhya,Ayodhya,7884,167,7606,111
248,OR,Odisha,OR_Kendujhar,Kendujhar,7874,71,7766,37
249,CT,Chhattisgarh,CT_Dhamtari,Dhamtari,7873,523,7243,107
250,TN,Tamil Nadu,TN_Krishnagiri,Krishnagiri,7867,110,7641,116
251,OR,Odisha,OR_Koraput,Koraput,7852,36,7800,16
252,BR,Bihar,BR_Gaya,Gaya,7772,111,7602,59
253,TG,Telangana,TG_Siddipet,Siddipet,7766,7765,1,0
254,UP,Uttar Pradesh,UP_Ballia,Ballia,7765,168,7493,104
255,PB,Punjab,PB_Hoshiarpur,Hoshiarpur,7719,118,7291,310
256,BR,Bihar,BR_Begusarai,Begusarai,7707,134,7539,34
257,TG,Telangana,TG_Sangareddy,Sangareddy,7707,7701,6,0
258,HP,Himachal Pradesh,HP_Kangra,Kangra,7700,524,6989,185
259,UP,Uttar Pradesh,UP_Barabanki,Barabanki,7668,70,7498,100
260,WB,West Bengal,WB_Alipurduar,Alipurduar,7632,51,7496,85
261,BR,Bihar,BR_Madhubani,Madhubani,7599,40,7526,33
262,JK,Jammu and Kashmir,JK_Budgam,Budgam,7593,153,7332,108
263,MH,Maharashtra,MH_Parbhani,Parbhani,7589,145,7151,282
264,CT,Chhattisgarh,CT_Bastar,Bastar,7566,175,7308,83
265,UP,Uttar Pradesh,UP_Lakhimpur Kheri,Lakhimpur Kheri,7497,134,7275,88
266,OR,Odisha,OR_Jharsuguda,Jharsuguda,7481,68,7387,26
267,TN,Tamil Nadu,TN_Tirupathur,Tirupathur,7436,48,7263,125
268,JH,Jharkhand,JH_Dhanbad,Dhanbad,7424,64,7256,104
269,OR,Odisha,OR_Bhadrak,Bhadrak,7402,33,7340,29
270,CT,Chhattisgarh,CT_Surguja,Surguja,7396,462,6852,82
271,KA,Karnataka,KA_Ramanagara,Ramanagara,7376,35,7265,76
272,LA,Ladakh,LA_Leh,Leh,7352,180,7088,84
273,OR,Odisha,OR_Nuapada,Nuapada,7303,63,7213,27
274,KA,Karnataka,KA_Bidar,Bidar,7251,39,7037,171
275,BR,Bihar,BR_Katihar,Katihar,7168,59,7097,12
276,BR,Bihar,BR_Araria,Araria,7157,50,7085,22
277,BR,Bihar,BR_Saran,Saran,7127,213,6861,53
278,WB,West Bengal,WB_Purulia,Purulia,6927,318,6562,47
279,TG,Telangana,TG_Suryapet,Suryapet,6883,6859,24,0
280,UP,Uttar Pradesh,UP_Shahjahanpur,Shahjahanpur,6816,80,6625,111
281,MH,Maharashtra,MH_Washim,Washim,6804,142,6511,149
282,KA,Karnataka,KA_Chamarajanagara,Chamarajanagara,6770,83,6557,119
283,AR,Arunachal Pradesh,AR_Papum Pare,Papum Pare,6754,39,6686,29
284,BR,Bihar,BR_Saharsa,Saharsa,6732,86,6634,12
285,UP,Uttar Pradesh,UP_Deoria,Deoria,6698,98,6508,92
286,BR,Bihar,BR_Rohtas,Rohtas,6684,39,6600,45
287,GJ,Gujarat,GJ_Mehsana,Mehsana,6684,205,6441,38
288,UP,Uttar Pradesh,UP_Mathura,Mathura,6669,172,6388,109
289,RJ,Rajasthan,RJ_Ganganagar,Ganganagar,6578,194,6342,42
290,UP,Uttar Pradesh,UP_Jaunpur,Jaunpur,6578,175,6306,97
291,HR,Haryana,HR_Mahendragarh,Mahendragarh,6578,36,6523,19
292,TN,Tamil Nadu,TN_Sivaganga,Sivaganga,6532,69,6337,126
293,JH,Jharkhand,JH_Bokaro,Bokaro,6493,78,6356,59
294,HR,Haryana,HR_Yamunanagar,Yamunanagar,6456,187,6130,139
295,OR,Odisha,OR_Nayagarh,Nayagarh,6450,19,6385,46
296,WB,West Bengal,WB_Uttar Dinajpur,Uttar Dinajpur,6437,174,6191,72
297,HP,Himachal Pradesh,HP_Solan,Solan,6414,378,5967,69
298,TN,Tamil Nadu,TN_Dharmapuri,Dharmapuri,6404,83,6268,53
299,NL,Nagaland,NL_Dimapur,Dimapur,6397,83,6191,51
300,TN,Tamil Nadu,TN_Ramanathapuram,Ramanathapuram,6318,28,6158,132
301,OR,Odisha,OR_Kalahandi,Kalahandi,6303,37,6235,31
302,HR,Haryana,HR_Bhiwani,Bhiwani,6239,23,6076,140
303,AS,Assam,AS_Cachar,Cachar,6216,4677,1498,41
304,UP,Uttar Pradesh,UP_Bulandshahr,Bulandshahr,6079,168,5820,91
305,MH,Maharashtra,MH_Sindhudurg,Sindhudurg,6018,331,5526,160
306,CT,Chhattisgarh,CT_Uttar Bastar Kanker,Uttar Bastar Kanker,6015,79,5880,56
307,BR,Bihar,BR_West Champaran,West Champaran,5980,73,5885,22
308,UP,Uttar Pradesh,UP_Azamgarh,Azamgarh,5969,139,5736,94
309,OR,Odisha,OR_Kandhamal,Kandhamal,5924,4,5887,33
310,TG,Telangana,TG_Jagtial,Jagtial,5922,5920,2,0
311,CT,Chhattisgarh,CT_Dakshin Bastar Dantewada,Dakshin Bastar Dantewada,5831,9,5806,16
312,GJ,Gujarat,GJ_Bhavnagar,Bhavnagar,5818,89,5661,68
313,UP,Uttar Pradesh,UP_Hardoi,Hardoi,5815,116,5593,106
314,HR,Haryana,HR_Jhajjar,Jhajjar,5805,66,5648,91
315,OR,Odisha,OR_Nabarangapur,Nabarangapur,5803,19,5769,15
316,UP,Uttar Pradesh,UP_Maharajganj,Maharajganj,5766,24,5652,90
317,KA,Karnataka,KA_Kodagu,Kodagu,5728,93,5564,71
318,BR,Bihar,BR_Gopalganj,Gopalganj,5722,54,5653,15
319,UP,Uttar Pradesh,UP_Etawah,Etawah,5718,136,5478,104
320,PB,Punjab,PB_Pathankot,Pathankot,5711,174,5384,153
321,OR,Odisha,OR_Dhenkanal,Dhenkanal,5694,6,5659,29
322,CT,Chhattisgarh,CT_Surajpur,Surajpur,5681,510,5135,36
323,UP,Uttar Pradesh,UP_Kushinagar,Kushinagar,5628,67,5500,61
324,TG,Telangana,TG_Peddapalli,Peddapalli,5587,5586,1,0
325,BR,Bihar,BR_Supaul,Supaul,5577,33,5526,18
326,RJ,Rajasthan,RJ_Jalore,Jalore,5545,148,5348,49
327,JK,Jammu and Kashmir,JK_Pulwama,Pulwama,5535,184,5263,88
328,JK,Jammu and Kashmir,JK_Kupwara,Kupwara,5519,124,5304,91
329,TG,Telangana,TG_Kamareddy,Kamareddy,5517,5509,8,0
330,CT,Chhattisgarh,CT_Kabeerdham,Kabeerdham,5514,21,5424,69
331,MN,Manipur,MN_Imphal East,Imphal East,5466,5241,150,75
332,BR,Bihar,BR_Vaishali,Vaishali,5400,68,5285,46
333,UP,Uttar Pradesh,UP_Rampur,Rampur,5386,68,5266,52
334,TG,Telangana,TG_Mahabubabad,Mahabubabad,5295,5294,1,0
335,UP,Uttar Pradesh,UP_Pratapgarh,Pratapgarh,5272,128,5077,67
336,OR,Odisha,OR_Malkangiri,Malkangiri,5220,11,5182,27
337,UP,Uttar Pradesh,UP_Rae Bareli,Rae Bareli,5217,226,4885,106
338,BR,Bihar,BR_Aurangabad,Aurangabad,5186,85,5086,15
339,BR,Bihar,BR_Samastipur,Samastipur,5182,35,5113,34
340,TG,Telangana,TG_Mancherial,Mancherial,5168,5167,0,1
341,TN,Tamil Nadu,TN_Karur,Karur,5165,92,5023,50
342,UP,Uttar Pradesh,UP_Ghazipur,Ghazipur,5116,84,4949,83
343,MP,Madhya Pradesh,MP_Khargone,Khargone,5055,184,4778,93
344,UP,Uttar Pradesh,UP_Basti,Basti,5025,58,4870,97
345,UP,Uttar Pradesh,UP_Gonda,Gonda,5021,60,4894,67
346,UP,Uttar Pradesh,UP_Sonbhadra,Sonbhadra,5004,171,4761,72
347,MP,Madhya Pradesh,MP_Sagar,Sagar,5000,188,4665,147
348,CT,Chhattisgarh,CT_Kondagaon,Kondagaon,4990,17,4947,26
349,UT,Uttarakhand,UT_Pauri Garhwal,Pauri Garhwal,4982,221,4680,57
